Neighborhood,Date,Connections,Key
 Charlestown,05/10/2014,18,1
 Charlestown,05/11/2014,16,2
 Charlestown,05/12/2014,30,3
 Charlestown,05/13/2014,21,4
 Charlestown,05/14/2014,20,5
 Charlestown,05/15/2014,26,6
 Charlestown,05/16/2014,31,7
 Charlestown,05/17/2014,20,8
 Charlestown,05/18/2014,23,9
 Charlestown,05/19/2014,27,10
 Charlestown,05/20/2014,30,11
 Charlestown,05/21/2014,40,12
 Charlestown,05/22/2014,22,13
 Charlestown,05/23/2014,19,14
 Charlestown,05/24/2014,20,15
 Charlestown,05/25/2014,16,16
 Charlestown,05/26/2014,11,17
 Charlestown,05/27/2014,21,18
 Charlestown,05/28/2014,19,19
 Charlestown,05/29/2014,22,20
 Charlestown,05/30/2014,31,21
 Charlestown,05/31/2014,22,22
 Charlestown,06/01/2014,25,23
 Charlestown,06/02/2014,34,24
 Charlestown,06/03/2014,37,25
 Charlestown,06/04/2014,17,26
 Charlestown,06/05/2014,24,27
 Charlestown,06/06/2014,33,28
 Charlestown,06/07/2014,26,29
 Charlestown,06/08/2014,27,30
 Charlestown,06/09/2014,39,31
 Charlestown,06/10/2014,40,32
 Charlestown,06/11/2014,40,33
 Charlestown,06/12/2014,32,34
 Charlestown,06/13/2014,37,35
 Charlestown,06/14/2014,33,36
 Charlestown,06/15/2014,34,37
 Charlestown,06/16/2014,47,38
 Charlestown,06/17/2014,30,39
 Charlestown,06/18/2014,43,40
 Charlestown,06/19/2014,41,41
 Charlestown,06/20/2014,35,42
 Charlestown,06/21/2014,20,43
 Charlestown,06/22/2014,26,44
 Charlestown,06/23/2014,41,45
 Charlestown,06/24/2014,37,46
 Charlestown,06/25/2014,30,47
 Charlestown,06/26/2014,32,48
 Charlestown,06/27/2014,26,49
 Charlestown,06/28/2014,20,50
 Charlestown,06/29/2014,17,51
 Charlestown,06/30/2014,34,52
 Charlestown,07/01/2014,31,53
 Charlestown,07/02/2014,42,54
 Charlestown,07/03/2014,25,55
 Charlestown,07/04/2014,10,56
 Charlestown,07/05/2014,14,57
 Charlestown,07/06/2014,22,58
 Charlestown,07/07/2014,30,59
 Charlestown,07/08/2014,32,60
 Charlestown,07/09/2014,38,61
 Charlestown,07/10/2014,30,62
 Charlestown,07/11/2014,35,63
 Charlestown,07/12/2014,29,64
 Charlestown,07/13/2014,20,65
 Charlestown,07/14/2014,28,66
 Charlestown,07/15/2014,34,67
 Charlestown,07/16/2014,29,68
 Charlestown,07/17/2014,39,69
 Charlestown,07/18/2014,25,70
 Charlestown,07/19/2014,23,71
 Charlestown,07/20/2014,33,72
 Charlestown,07/21/2014,28,73
 Charlestown,07/22/2014,31,74
 Charlestown,07/23/2014,35,75
 Charlestown,07/24/2014,39,76
 Charlestown,07/25/2014,28,77
 Charlestown,07/26/2014,35,78
 Charlestown,07/27/2014,29,79
 Charlestown,07/28/2014,38,80
 Charlestown,07/29/2014,35,81
 Charlestown,07/30/2014,32,82
 Charlestown,07/31/2014,36,83
 Charlestown,08/01/2014,26,84
 Charlestown,08/02/2014,19,85
 Charlestown,08/03/2014,29,86
 Charlestown,08/04/2014,28,87
 Charlestown,08/05/2014,29,88
 Charlestown,08/06/2014,29,89
 Charlestown,08/07/2014,30,90
 Charlestown,08/08/2014,34,91
 Charlestown,08/09/2014,33,92
 Charlestown,08/10/2014,26,93
 Charlestown,08/11/2014,42,94
 Charlestown,08/12/2014,32,95
 Charlestown,08/13/2014,30,96
 Charlestown,08/14/2014,34,97
 Charlestown,08/15/2014,28,98
 Charlestown,08/16/2014,32,99
 Charlestown,08/17/2014,28,100
 Charlestown,08/18/2014,36,101
 Charlestown,08/19/2014,43,102
 Charlestown,08/20/2014,43,103
 Charlestown,08/21/2014,44,104
 Charlestown,08/22/2014,36,105
 Charlestown,08/23/2014,24,106
